Date,Date,Open,High,Low,Close,Adj Close,Volume
21-06-2016,42542,1331.75,1332.5,1320.699951,1325.599976,1224.44751,1027690
22-06-2016,42543,1325,1338.849976,1315.880005,1333.819946,1232.040527,1761712
23-06-2016,42544,1327.5,1329.75,1312.650024,1322.680054,1221.75061,1397014
24-06-2016,42545,1282.569946,1296.599976,1257.069946,1286.969971,1188.765381,3766586
27-06-2016,42548,1273.5,1273.5,1241.319946,1247.930054,1152.704346,4272566
28-06-2016,42549,1247.930054,1251.449951,1229.199951,1231.969971,1137.96228,4499524
29-06-2016,42550,1237.5,1256.25,1232.650024,1251.449951,1155.955688,2531264
30-06-2016,42551,1261,1281.449951,1250.180054,1276.550049,1179.140747,5121812
01-07-2016,42552,1281,1282.300049,1247.180054,1250.430054,1155.013672,2197296
04-07-2016,42555,1258,1262.930054,1241,1247.099976,1151.937744,1883484
05-07-2016,42556,1247.099976,1248.530029,1238.569946,1242.650024,1147.827515,1559748
07-07-2016,42558,1243.849976,1245.930054,1212.5,1214.900024,1122.194824,3316800
08-07-2016,42559,1217.5,1221.030029,1201.75,1213.300049,1120.717041,2456356
11-07-2016,42562,1215,1235.900024,1213.5,1232.069946,1138.054688,1543632
12-07-2016,42563,1235.849976,1237.5,1217.930054,1232.469971,1138.424194,1465536
13-07-2016,42564,1239,1249.619995,1225.619995,1246.550049,1151.429688,2102300
14-07-2016,42565,1243,1264.5,1235.5,1260.949951,1164.730957,2699988
15-07-2016,42566,1258.5,1263.900024,1213.280029,1222.680054,1129.381348,8336366
18-07-2016,42569,1223.5,1234.5,1215.300049,1216.719971,1123.875977,2598850
19-07-2016,42570,1213.75,1236.400024,1213.75,1233.099976,1139.005981,2362896
20-07-2016,42571,1225,1251.25,1224.069946,1247.469971,1152.279541,2815252
21-07-2016,42572,1244.75,1259.75,1232.219971,1253.030029,1157.415405,2527148
22-07-2016,42573,1249.449951,1262,1246,1257.550049,1161.590332,1517216
25-07-2016,42576,1256,1281.599976,1252.900024,1279.469971,1187.978394,1688796
26-07-2016,42577,1279.469971,1284,1266.5,1276.300049,1185.03479,2311290
27-07-2016,42578,1277.5,1290.199951,1272.5,1288.780029,1196.622559,1750510
28-07-2016,42579,1290.25,1314.780029,1288.530029,1309.619995,1215.972168,4632080
29-07-2016,42580,1307,1317.449951,1299.5,1309.650024,1216.000122,2488084
01-08-2016,42583,1316,1362.5,1316,1354.119995,1257.290283,3961704
02-08-2016,42584,1351.449951,1357.849976,1344.900024,1349.599976,1253.093262,2578162
03-08-2016,42585,1343,1349.5,1324.530029,1328.150024,1233.177002,2294702
04-08-2016,42586,1335,1341.469971,1318.119995,1326,1231.18103,1415416
05-08-2016,42587,1336.949951,1342.150024,1316,1324.550049,1229.834595,1868484
08-08-2016,42590,1320,1334,1314.530029,1324.75,1230.020386,2058244
09-08-2016,42591,1329,1329.900024,1289.430054,1325.099976,1230.345459,2261914
10-08-2016,42592,1325.5,1341,1324,1337.699951,1242.044189,2062078
11-08-2016,42593,1332.780029,1357.5,1332.780029,1354.949951,1258.060791,2233138
12-08-2016,42594,1352.5,1372.400024,1351.030029,1369.219971,1271.310425,2327358
16-08-2016,42598,1369,1370,1336.930054,1345.849976,1249.611328,3183754
17-08-2016,42599,1349.5,1349.5,1309,1312.280029,1218.441895,1848566
18-08-2016,42600,1317.5,1328.780029,1315.050049,1319.280029,1224.941528,1292064
19-08-2016,42601,1320,1323.219971,1300,1301.75,1208.665039,2416244
22-08-2016,42604,1294,1297.219971,1268.150024,1274.349976,1183.224243,2265274
23-08-2016,42605,1272.469971,1302.469971,1270.099976,1300.530029,1207.532227,1503374
24-08-2016,42606,1294.900024,1301,1284.530029,1286.030029,1194.068848,1116878
25-08-2016,42607,1290,1294.849976,1263,1275.530029,1184.319824,1939690
26-08-2016,42608,1279.900024,1286.280029,1258.599976,1262.469971,1172.193848,1250314
29-08-2016,42611,1267.469971,1267.469971,1233.380005,1250.280029,1160.87561,1488728
30-08-2016,42612,1255,1274.900024,1250.619995,1272.069946,1181.107178,1444026
31-08-2016,42613,1275,1275,1250.430054,1255.650024,1165.861328,3231668
01-09-2016,42614,1262.449951,1267.469971,1243.530029,1253.75,1164.097412,1345736
02-09-2016,42615,1256,1259.699951,1248.030029,1257.400024,1167.486328,1742330
06-09-2016,42619,1259.949951,1260.069946,1240,1242.030029,1153.215454,2239066
